speaker,start,end,text
Speaker 1,00:00:00:00,00:00:07:04,Hi. Your full name is Ivana.
Lorna Myers,00:00:07:06,00:00:11:05,Are.
Lorna Myers,00:00:11:08,00:00:16:11,How beautiful is my.
Lorna Myers,00:00:16:13,00:00:18:07,Maya.
Speaker 1,00:00:18:10,00:00:24:07,Oh. Airfoil cuisine. Thank you.
Speaker 1,00:00:24:10,00:00:26:06,Have you ever had a nickname?
Lorna Myers,00:00:26:08,00:00:27:06,Well.
Lorna Myers,00:00:27:08,00:00:33:13,"Oh, you are doing,"
Speaker 1,00:00:33:16,00:00:38:00,When were you born?
Lorna Myers,00:00:38:02,00:00:41:02,Like you are right here outside.
Lorna Myers,00:00:41:05,00:00:43:02,"Right. Well,"
Speaker 1,00:00:43:04,00:00:51:19,Where were you born? Terrible.
Speaker 1,00:00:51:21,00:00:55:27,And you've always lived in this part of Idaho? Where?
Lorna Myers,00:00:55:27,00:01:02:26,I was very poor school. Good.
Speaker 1,00:01:02:29,00:01:13:25,What was your mother's maiden name? Martin. And her first name. Right.
Speaker 1,00:01:13:28,00:01:23:18,"When was she born? You know. Oh, baby. Baby, where was she born?"
Lorna Myers,00:01:23:20,00:01:31:10,Like in the black grass.
Speaker 1,00:01:31:12,00:01:34:00,Was she have any job.
Lorna Myers,00:01:34:02,00:01:35:23,When we were there for.
Lorna Myers,00:01:35:23,00:01:40:28,For. Girl. Oh.
Speaker 1,00:01:41:00,00:01:53:09,"Know how cold? Hell, yeah. Before she was married. And then after marriage, she just was a housewife and stayed home all."
Lorna Myers,00:01:53:12,00:01:55:20,Day and cook up.
Lorna Myers,00:01:55:22,00:02:02:18,"Or, it was was to work."
Speaker 1,00:02:02:20,00:02:07:28,So she continued to do housework. Okay.
Lorna Myers,00:02:08:00,00:02:10:05,We were still hungry for a while.
Lorna Myers,00:02:10:07,00:02:14:24,But.
Lorna Myers,00:02:14:27,00:02:22:24,There was a lot of people out there who were.
Speaker 1,00:02:22:27,00:02:27:27,What year was she married?
Lorna Myers,00:02:28:00,00:02:29:12,Here for a very good.
Lorna Myers,00:02:29:12,00:02:36:03,Yeah. 24. Oh. November.
Lorna Myers,00:02:36:05,00:02:45:20,Were pretty good. Thank you. Yeah. I live or work here.
Speaker 1,00:02:45:22,00:02:47:06,"Well, that is so important."
Lorna Myers,00:02:47:09,00:02:49:02,To figure it out.
Speaker 1,00:02:49:04,00:02:51:18,do you know about when she died?
Lorna Myers,00:02:51:21,00:03:08:25,"Yeah, she died. It's the same with. No. Dad died. Him before."
Speaker 1,00:03:08:27,00:03:10:18,What was your father's name?
Lorna Myers,00:03:10:20,00:03:20:02,Right. That.
Speaker 1,00:03:20:04,00:03:31:12,"Oh, yeah. Airfoil. Okay. You know, when he was born."
Speaker 1,00:03:31:14,00:03:34:23,You know where he was born in?
Lorna Myers,00:03:34:26,00:03:41:12,African. Good.
Lorna Myers,00:03:41:14,00:03:47:27,"So, living in Indiana."
Speaker 1,00:03:48:00,00:03:51:06,What was his occupation?
Lorna Myers,00:03:51:08,00:03:56:07,"Well, he's good to work."
Lorna Myers,00:03:56:10,00:04:01:06,I'll give you a good. But he finally got to be in.
Lorna Myers,00:04:01:08,00:04:03:27,"The, carrier."
Lorna Myers,00:04:03:29,00:04:08:22,He. Crews narrowed it down.
Lorna Myers,00:04:08:25,00:04:19:16,"And then after that, we have gone. Well, and he's just gone through here on this."
Lorna Myers,00:04:19:18,00:04:27:07,Program. Because the way you get your kids into.
Lorna Myers,00:04:27:09,00:04:30:24,Your.
Lorna Myers,00:04:30:26,00:04:39:02,Before he was an air carrier to. Transport. Sure.
Speaker 1,00:04:39:05,00:04:44:20,Did you have brothers and sisters? I have two. And what are their names?
Lorna Myers,00:04:44:23,00:05:00:22,"And they'll, you know, they'll."
Speaker 1,00:05:00:25,00:05:09:28,"Pay brothers. No, I. Oh. What was your husband's name?"
Lorna Myers,00:05:10:01,00:05:19:00,The Edwin that ever. I do remember how. Well.
Lorna Myers,00:05:19:02,00:05:21:09,Parker. No.
Speaker 1,00:05:21:12,00:05:23:18,It's Henry.
Lorna Myers,00:05:23:20,00:05:33:26,You have $48. I live with him. My life. Okay. Through my.
Speaker 1,00:05:33:28,00:05:37:28,"You know, when he was born."
Lorna Myers,00:05:38:01,00:05:40:26,What?
Speaker 1,00:05:40:29,00:05:44:03,What? Where was he born?
Lorna Myers,00:05:44:06,00:05:52:17,"Oh, they were."
Speaker 1,00:05:52:19,00:06:05:19,Where were you? Married. You go. He fell off. When? When you in eight. What occupations did you have to hurry?
Lorna Myers,00:06:05:20,00:06:24:26,"Like? Because my. And then their school. And you, okay. We had to go there."
Speaker 1,00:06:24:28,00:06:30:14,Is a mail carrier. Was he a school teacher?
Lorna Myers,00:06:30:16,00:06:32:20,No.
Lorna Myers,00:06:32:22,00:06:38:07,All right. well.
Speaker 1,00:06:38:10,00:06:40:13,When did you die?
Lorna Myers,00:06:40:15,00:06:42:12,"Well, one person survived."
Speaker 1,00:06:42:17,00:06:51:08,"Oh, it's he's he's living. Yeah. Oh, he's in Kellogg. Yeah. And he you have two children."
Lorna Myers,00:06:51:11,00:06:58:28,Or two every. Two for the name.
Speaker 1,00:06:59:00,00:07:04:02,Okay. Does he have an occupation? What does he do? Okay.
Lorna Myers,00:07:04:04,00:07:14:12,"only here for, medical."
Speaker 1,00:07:14:14,00:07:33:20,"When was he born? Is. 33 and 30. If you born in Kellogg. Yeah. If you can afford to live, work here. Okay. And your other time? Well."
Speaker 1,00:07:33:22,00:07:34:13,When people.
Lorna Myers,00:07:34:17,00:07:36:28,"I was born, we."
Speaker 1,00:07:36:29,00:07:41:20,Are usually about 99. 32.
Lorna Myers,00:07:41:22,00:07:47:21,Yeah. yeah.
Speaker 1,00:07:47:23,00:07:53:04,"So, see, working now? she's the."
Lorna Myers,00:07:53:07,00:08:00:22,Honorary president. Princess.
Speaker 1,00:08:00:24,00:08:15:04,All right. How much education did you have? two years.
Speaker 1,00:08:15:06,00:08:17:02,And you've got school?
Lorna Myers,00:08:17:05,00:08:21:02,Yeah. That's pretty.
Speaker 1,00:08:21:04,00:08:25:07,Weird.
Speaker 1,00:08:25:09,00:08:26:25,What great city to.
Lorna Myers,00:08:26:28,00:08:36:00,Work for seven years.
Speaker 1,00:08:36:03,00:08:54:27,"Did you do some other thing? Well, for three for work, Okay. Craft were. All kind of expensive work."
Lorna Myers,00:08:54:29,00:09:06:15,"Okay, well, where are you?"
Speaker 1,00:09:06:17,00:09:11:23,"Have you had any other hobbies or interests? No, we can not."
Lorna Myers,00:09:11:27,00:09:17:19,Not only more. You.
Lorna Myers,00:09:17:22,00:09:18:24,Are you. Have you work.
Lorna Myers,00:09:18:24,00:09:22:16,For a garden?
Speaker 1,00:09:22:18,00:09:28:11,Or are you a member of clubs or groups? Or. And you are.
Lorna Myers,00:09:28:14,00:09:37:07,Going to work for the. Everything all right?
Speaker 1,00:09:37:10,00:09:43:00,Have you had any special award for honors? Ribbon? Or are you your friends?
Lorna Myers,00:09:43:00,00:09:53:07,"You know, your for?"
Speaker 1,00:09:53:09,00:10:06:01,"All right. I had a few other, question staff. Do you think it's, there are some advantages in living in small towns or rural areas?"
Lorna Myers,00:10:06:03,00:10:09:20,"Or do,"
Speaker 1,00:10:09:22,00:10:15:07,Or your every or your.
Lorna Myers,00:10:15:09,00:10:24:03,Roster.
Lorna Myers,00:10:24:05,00:10:29:12,Are.
Lorna Myers,00:10:29:15,00:10:41:02,There.
Lorna Myers,00:10:41:04,00:10:45:29,I think they're coming here.
Speaker 1,00:10:46:01,00:10:56:07,"someone was telling me that your father, worked in the in the woods or during the big fire in Nighthawk, and,"
Lorna Myers,00:10:56:10,00:11:03:08,"He served a couple aircraft, a he was a cook."
Lorna Myers,00:11:03:10,00:11:06:13,some kind.
Lorna Myers,00:11:06:16,00:11:08:19,Owner in.
Lorna Myers,00:11:08:21,00:11:10:21,you go.
Lorna Myers,00:11:10:23,00:11:14:09,Down here.
Lorna Myers,00:11:14:11,00:11:21:26,And he was a real.
Lorna Myers,00:11:21:29,00:11:35:19,"he got to be a cook or, he. Could cook."
Speaker 1,00:11:35:21,00:11:39:22,And he was out in the woods during this awful. Yeah. Bad fire to.
Lorna Myers,00:11:39:27,00:12:07:01,"Him, right? Or cooking. He could go and find them. Mountain. Anyway, I followed them up the fire when you're out there. But I have been with my, you know, the. Fire went over where you give like."
Speaker 1,00:12:07:03,00:12:22:15,So he was in. I've read some in a book about some of those miners were killed the men were more. And it must been a terrible experience.
Speaker 1,00:12:22:17,00:12:24:25,Do you remember the fire?
Lorna Myers,00:12:24:27,00:12:32:09,"Yes, I remember we were of color and and we, homestead or."
Lorna Myers,00:12:32:11,00:12:38:12,"Two, three and,"
Lorna Myers,00:12:38:14,00:12:40:11,My mother had to go out.
Lorna Myers,00:12:40:14,00:12:49:10,"With the horse to bring him in, and and. Yeah, very dark, very different garden."
Lorna Myers,00:12:53:27,00:12:54:11,For the.
Lorna Myers,00:12:54:12,00:13:01:03,Americans. to go in the back of a wagon.
Lorna Myers,00:13:01:05,00:13:08:13,"And, do it down the trail for several for an hour, and,"
Lorna Myers,00:13:08:15,00:13:16:06,Every who was.
Lorna Myers,00:13:16:08,00:13:28:19,Back.
Lorna Myers,00:13:28:22,00:13:37:01,"Over the trail, through the."
Speaker 1,00:13:37:03,00:13:39:26,But it was. But was the house burn?
Lorna Myers,00:13:39:29,00:13:40:21,No. It didn't.
Speaker 1,00:13:40:21,00:13:44:28,"It's, They just expected it to stay."
Lorna Myers,00:13:45:00,00:14:00:28,They didn't finish falling in the yard. And they go on. It was no man available to help or had to do it. All fires go back.
Speaker 1,00:14:01:01,00:14:08:01,And chat to a little girl and do. But she managed to hitch up the horses and got away.
Lorna Myers,00:14:08:02,00:14:39:00,"You're out. And she stayed down there. The, in here from that for a long time. Yeah. The fire was over there. They did to get home. Yeah. The. It was a matter of hours before, the money come, but I and mothers. And you go right? And you go back up."
Lorna Myers,00:14:39:02,00:14:45:25,"And you go to work, but you know."
Lorna Myers,00:14:45:28,00:14:47:16,This man could do it.
Lorna Myers,00:14:47:19,00:14:53:15,"For the good, for."
Lorna Myers,00:14:53:17,00:14:55:10,For the man.
Speaker 1,00:14:55:13,00:15:07:14,And he never did get the message for your mother. So it was a long time. She didn't even know if he was still.
Speaker 1,00:15:07:16,00:15:11:16,"That much a really, terrible experience."
Lorna Myers,00:15:11:16,00:15:15:20,They're very. Everybody had no.
Speaker 1,00:15:15:23,00:15:20:05,Contact. But. But your father survived.
Lorna Myers,00:15:20:08,00:15:47:03,"Oh, yes. That was all right. He was a little boy. When they go up there, he was a pretty good when they came on. So many of for that. One of the things that he volunteered to go down to, Wow. And tell the people,"
Lorna Myers,00:15:47:06,00:15:54:16,Wouldn't believe he was an all man.
Lorna Myers,00:15:54:19,00:16:15:03,"Everything where he ran down that mountain, the girl, the fire would work. stir up the sister and, the. Other."
Lorna Myers,00:16:15:06,00:16:18:05,Try to work out that way.
Lorna Myers,00:16:18:07,00:16:26:18,"And, And that was you. they,"
Lorna Myers,00:16:26:20,00:16:49:21,"Mayor of the town and one that anything that would go around so that and they said the, grew up, you know, that they put them the best rock around."
Speaker 1,00:16:49:23,00:16:52:05,Just adopted.
Lorna Myers,00:16:52:07,00:17:03:28,The year.
Lorna Myers,00:17:04:01,00:17:05:15,And then and.
Lorna Myers,00:17:05:22,00:17:13:19,"Then after that, if they went back up, there was a lot of hardship. So."
Lorna Myers,00:17:13:21,00:17:20:12,The price and the men were up on the mountain.
Speaker 1,00:17:20:14,00:17:29:28,They took doctors and medical aid. Yeah.
Speaker 1,00:17:30:00,00:17:44:10,"When you were growing up, in your family, did you do things together as a family? Oh, yeah. What kind of activities did you enjoy? Well."
Lorna Myers,00:17:44:12,00:17:55:12,"I definitely, up for a weekend, party."
Lorna Myers,00:17:55:14,00:18:03:04,Or or. Or for basic. How?
Lorna Myers,00:18:03:06,00:18:08:10,"They're coming from, used to."
Lorna Myers,00:18:08:10,00:18:12:29,Have dances.
Lorna Myers,00:18:13:01,00:18:17:24,Or cooking the the dancing.
Lorna Myers,00:18:17:26,00:18:23:00,"I remember they're making cakes for. Yeah, the frosting."
Lorna Myers,00:18:23:00,00:18:30:24,"They had, like."
Lorna Myers,00:18:30:26,00:18:31:05,Cake.
Lorna Myers,00:18:31:06,00:18:51:19,"Mom, I to think that one. Of the or make sure I think about the cake."
Lorna Myers,00:18:51:21,00:18:53:18,Yeah.
Speaker 1,00:18:53:21,00:18:57:00,How did you happen to start cooking school?
Lorna Myers,00:18:57:02,00:19:02:21,"Well, I quit drama school."
Lorna Myers,00:19:02:23,00:19:07:17,And then I got to cook. I went.
Lorna Myers,00:19:07:20,00:19:10:05,"Through a year, and I got a year."
Lorna Myers,00:19:10:07,00:19:17:19,Every year. I can't even.
Lorna Myers,00:19:17:21,00:19:34:07,"Lose one room and all. All the grades, the their food, I can't or. No. I've never heard that my training was for working for. I think it's very hard to get up in the next year. I can't."
Lorna Myers,00:19:34:07,00:19:40:10,Remember or. I had to go.
Lorna Myers,00:19:40:12,00:19:48:08,"To Great, and I thought that was wonderful."
Speaker 1,00:19:48:11,00:19:51:22,Did you you continue teaching after you were married? Yeah.
Lorna Myers,00:19:51:24,00:20:03:06,"I got, you know, when I was married, I was, but out of the kitchen. I was through school. I couldn't be."
Speaker 1,00:20:03:09,00:20:12:11,"Home. That was that period when if you were married, you couldn't keep it down. How did you hear about that?"
Lorna Myers,00:20:12:14,00:20:14:23,"Well, I didn't like it."
Lorna Myers,00:20:14:26,00:20:23:23,"I guess I was close to the enemy. Okay. And, then."
Speaker 1,00:20:23:25,00:20:27:13,Later I got. Yeah.
Lorna Myers,00:20:27:15,00:20:52:06,And then I was a good employee.
Lorna Myers,00:20:52:08,00:20:56:12,I got.
Lorna Myers,00:20:56:14,00:21:07:28,To go two years. And over the time I husband.
Speaker 1,00:21:08:01,00:21:32:16,"So, You were able to support yourself if anything would have happened to your husband? Yes. That must have given you a sense of security. So you see that that's useful for a woman. And now I'm hearing, tension over school."
Speaker 1,00:21:32:19,00:21:40:29,"So you see that that's useful for a woman. And now I'm getting, pension for school for me."
Lorna Myers,00:21:41:01,00:21:42:06,Yeah.
Speaker 1,00:21:42:08,00:21:54:14,"That's a good thing. It. And I get so. And and, do you think you're."
Speaker 1,00:21:54:16,00:22:09:26,"And it must have, kept you active in the community. And you met more people than if you stayed at home with your sister. But you don't regret having worked outside hard."
Lorna Myers,00:22:09:29,00:22:15:09,And growing and growing. You became very.
Speaker 1,00:22:15:11,00:22:24:09,"Was it a problem to try to keep up your home, or how did you manage? Sometimes."
Speaker 1,00:22:24:12,00:22:33:12,At home. Did your husband help with housework? your children?
Lorna Myers,00:22:33:15,00:22:44:11,Your. So your.
Lorna Myers,00:22:44:13,00:22:45:19,what you're working.
Lorna Myers,00:22:45:19,00:22:51:18,With that you work and you.
Speaker 1,00:22:51:21,00:22:59:21,And you have no regrets about that? No more important to to your work.
Lorna Myers,00:22:59:24,00:23:05:26,Sure. I'd prefer to work. Yeah.
Lorna Myers,00:23:05:28,00:23:10:01,I got to be more relaxed.
Lorna Myers,00:23:10:03,00:23:18:26,"I could work, I, okay. More."
Lorna Myers,00:23:18:28,00:23:26:23,"I can give you work, I give, the more you're."
Speaker 1,00:23:26:26,00:23:44:01,"So there's various ways to manage, and then they, You or. And of course, the things to me. Do you think it's worthwhile to do that extra part? Where did you meet your husband?"
Lorna Myers,00:23:44:04,00:23:47:28,Where'd you go?
Speaker 1,00:23:48:01,00:23:59:20,The food is better. Yeah.
Speaker 1,00:23:59:22,00:24:18:10,"Well, I don't want to get you too tired. And I think, we have a release form here where you can say if it's all right if we use this material with your name. Is that all right? Here. So I'll check it here where it says the material can be pretty quick."
Lorna Myers,00:24:18:10,00:24:28:06,"They were saying you over and over again, right? When you're very happy."
Speaker 1,00:24:28:08,00:24:46:05,"But you remembered some interesting things that, it's worthwhile to get put down for people to have a record of that. Some of your experiences of fire and what it was like for you. Time."
Speaker 1,00:24:46:08,00:25:13:16,"So I'll check this here where it says material can be used at the discretion of the project. Yeah, that'll be for research in the future. Today is July 30th, 1975, and I'm signing my name here as the interviewer."
Speaker 1,00:25:13:19,00:25:27:26,"And I'll give you a place here where you sign, and I'll leave you a receipt. Then your copy of Call."
Speaker 1,00:25:27:29,00:25:47:00,"Now, can you see forces signature there, there."
Lorna Myers,00:25:47:02,00:26:04:02,Yeah. That's right.
Speaker 1,00:26:04:04,00:26:15:16,That's defined.
Speaker 1,00:26:15:18,00:26:17:22,On. That's your copy.
Lorna Myers,00:26:17:24,00:26:22:17,Of that and. Yeah.
Speaker 1,00:26:22:20,00:26:28:27,So would you mind if I took your picture now? So we have an identification.
Lorna Myers,00:26:28:27,00:26:39:21,Go.
