speaker,start,end,text
Unknown Interviewer,00:00:00:00,00:00:05:01,"Thank God I'm here in Troy, Idaho."
Doris Burns Carlson,00:00:05:01,00:00:13:20,"Today interviewing DorisCarlson. Now, Doris, would you like to tell me your full name?"
Unknown Interviewer,00:00:13:22,00:00:19:18,Doris. Henrietta Byrnes. Carlson. Carlson.
Doris Burns Carlson,00:00:19:20,00:00:21:19,Did you have any nicknames?
Unknown Interviewer,00:00:21:21,00:00:27:19,"My dad called me Mike when I was a child, but now, otherwise I didn't."
Doris Burns Carlson,00:00:27:21,00:00:29:21,"Just as a child, I am."
Unknown Interviewer,00:00:29:23,00:00:33:19,And only my dad called me that. Nobody else did me. Dad.
Doris Burns Carlson,00:00:33:21,00:00:37:06,Okay. Is there a reason why I called you Mike?
Unknown Interviewer,00:00:37:09,00:00:43:17,"Because he wanted a boy. I was the third girl. You were the third girl,"
Doris Burns Carlson,00:00:43:19,00:00:49:03,How could you? Could you give me the address here in Troy.
Unknown Interviewer,00:00:49:05,00:00:52:19,If I just. Box 146 is all.
Doris Burns Carlson,00:00:52:21,00:01:00:28,And one plus 146. Troy.
Doris Burns Carlson,00:01:01:00,00:01:04:27,Okay. can I have the date of your birth?
Unknown Interviewer,00:01:05:00,00:01:12:20,"November 17th, 1960. 17, 1960."
Doris Burns Carlson,00:01:13:01,00:01:13:25,where were you born?
Unknown Interviewer,00:01:14:02,00:01:28:20,"In Bradford, North Dakota. Brandt. Brandt, it's Brandt I. Ford? Yeah. Brandt. Ford, North Dakota."
Doris Burns Carlson,00:01:29:25,00:01:31:06,your phone number.
Unknown Interviewer,00:01:31:08,00:01:42:19,"8352141. Telephone. But I just make something else do,"
Doris Burns Carlson,00:01:43:02,00:01:49:21,"would you say that you, lived in Windsor? first, how did you get there?"
Unknown Interviewer,00:01:51:00,00:02:08:08,"that was quite an interesting story, too. we came from North Dakota to Billings, and we was only there one year, and then I went into nurse's training. I graduated from high school in Billings. Then I went to nurses training. The Deaconess Hospital in Billings, and my sister and brother came to Idaho to visit. And then my folks came."
