speaker,start,end,text
Unknown Interviewee,00;00;00;00,00;00;17;18,For or for that part of the gathered month? I don't know what I don't know. I don't think.
Unknown Interviewer,00;00;17;21,00;00;37;25,"And, but occupations di other than that, what I was going this was as far as went to school. Now, if you gone to school any further, what would you have gone back? Well, if I have went off to school, I'd have, to have had more education."
Unknown Interviewee,00;00;37;25,00;00;56;21,Then I would have got a certificate. Little. Oh. Yeah. But I stayed with mother the day I was the last girl. And that that we see Earth.
Unknown Interviewer,00;00;56;23,00;01;04;22,oh. looking out things a little older than I am. And my dad went off to building elevators.
Unknown Interviewee,00;01;04;24,00;01;12;19,"Oh, really? And that that that my mother and I, Oh."
Unknown Interviewer,00;01;12;22,00;01;23;09,"Well, we had Roy and Eric, but they were quite a bit younger. how far away did your your, dad go to Philadelphia?"
Unknown Interviewee,00;01;23;11,00;01;41;22,"Oh, we went to all Ohio. I don't know the place where I built. Them around different places that."
Unknown Interviewee,00;01;41;24,00;01;44;11,I know all about on.
Unknown Interviewer,00;01;44;13,00;02;12;14,"What was going on and all that. Because it's going to get lost if somebody gets it down. But did, did you ever hold any jobs or anything? did you ever hold any jobs? No. Oh. yeah. W yeah, that kind of stuff. But I mean, as far as, clerking or anything like law, and in your school teaching."
Unknown Interviewee,00;02;12;16,00;02;18;17,I think there was a woman school job. Yeah. And her husband had.
Unknown Interviewer,00;02;18;17,00;02;34;04,"A daughter there, I think. Well, there was was his helping was out, but the same had a job working had, you know. Yeah. What, what store was this? what store was this."
Unknown Interviewee,00;02;34;07,00;02;39;12,That was involved in in Iowa? Oh.
Unknown Interviewee,00;02;39;14,00;02;46;02,That's where I lived.
Unknown Interviewee,00;02;46;05,00;02;54;10,Where I live.
Unknown Interviewee,00;02;54;13,00;03;04;22,"And that's where I was living. My former dad also,"
Unknown Interviewer,00;03;04;24,00;03;11;15,Did you move around when you were in Iowa? A lot. You just always lived in Lavinia.
Unknown Interviewee,00;03;11;17,00;03;15;27,"Well, well, on the farm and over on the farm every."
Unknown Interviewer,00;03;15;27,00;03;18;29,Year on that. Quite a few years that they sold it.
Unknown Interviewee,00;03;18;29,00;03;25;24,And then we did rent a car and we didn't keep that very at all this year. Yes. When we moved to the.
Unknown Interviewer,00;03;25;26,00;03;27;16,And build a home.
Unknown Interviewee,00;03;27;18,00;03;34;23,"And then they, when they would get nowhere he'd be available."
Unknown Interviewer,00;03;34;26,00;03;41;16,"what hobbies and this, this sort of what are your hobbies and interests? Reading."
Unknown Interviewee,00;03;41;18,00;03;47;13,"Reading. Oh, actually can if,"
Unknown Interviewer,00;03;47;15,00;03;51;29,"Well, then. And now two."
Unknown Interviewee,00;03;52;01,00;03;59;03,"When we were in, it was a new place. We had it all. But back then it out."
Unknown Interviewer,00;03;59;06,00;04;00;03,"You know, the part."
Unknown Interviewee,00;04;00;09,00;04;36;29,"Where the girls in town and I and we've got, we've got go make an ice cream. And that was, you know, it, it was money selling stuff. Picked up the car and work hard to get the car that they you could get to go to third Street and get them cream at the hut. What? You're back there. Is that everything we do for our retail store they put up and so I but most always."
Unknown Interviewee,00;04;37;02,00;04;43;05,"But I got married. off, you know."
Unknown Interviewer,00;04;43;08,00;04;44;21,But you read a lot now.
Unknown Interviewee,00;04;44;24,00;04;49;21,"Oh, yeah. I have all, all my life I read books."
Unknown Interviewer,00;04;49;24,00;04;55;00,And I loved to read. any other hobbies that you quilted?
Unknown Interviewee,00;04;55;03,00;05;07;16,"Oh, you boys would at the end of the club for Stoke Harper Bragg. Well, do things like that."
Unknown Interviewer,00;05;07;18,00;05;11;00,Anything else?
Unknown Interviewee,00;05;11;03,00;05;15;22,"No, no. All right. You are."
Unknown Interviewer,00;05;15;24,00;05;17;14,"Oh, well, I mean, that's worth mentioning."
Unknown Interviewee,00;05;17;17,00;05;30;16,"Okay, is I work. Well. I paid for everything, you know."
Unknown Interviewer,00;05;30;18,00;05;41;29,"And then, of course, Clubs and groups and societies. The missionary society."
Unknown Interviewee,00;05;42;01,00;05;55;17,"Well, I play church in church, right? I don't how."
Unknown Interviewer,00;05;55;19,00;06;00;14,Any other club?
Unknown Interviewer,00;06;00;17,00;06;08;03,"Now, did you ever, win any honors or awards or ribbons for anything you ever did?"
Unknown Interviewee,00;06;08;05,00;06;32;21,"Know all. I never got any of. Our our greatest thing that we got back there. You know, I bought supper. Thanks a lot. Yeah, well, we get prizes for our beautiful lot. I got tell, but that that. No, it,"
Unknown Interviewer,00;06;32;23,00;06;35;23,What kind of prizes are they?
Unknown Interviewee,00;06;35;26,00;07;18;12,"Yeah. Oh, yeah. Well. Right. Or, talk about the country and how the improve it all at one time. Got a rough ride. helped by, but but that being the park, you know, I kept our doors, and we always kept bringing those windows, but we never had a house. But I sort of had to get five that we had to you flier paper."
Unknown Interviewee,00;07;18;15,00;07;23;24,"Yeah, that's because they were,"
Unknown Interviewer,00;07;23;27,00;07;27;10,How did you make these boxes for these box steppers?
Unknown Interviewee,00;07;27;13,00;08;10;20,"Oh, boy. I kept two of you. Like you always keep that boy. People keep box. And then we get them to always to paper, that we ever put out of our. And, okay. Together. I wonder how they go. I never thought anyway. So I've had a box. So much for $5 as a box. Yeah. Boy, you really?"
Unknown Interviewee,00;08;10;22,00;08;12;28,What is that about?
Unknown Interviewer,00;08;13;00,00;08;39;06,"Well, that's something that they don't do anymore at all. In fact, how would you say that? That, we have a lot of. Our next letter show. We'll have that many more, you know. What are those, What are those? Well, Uncle Tom's cabin I remember being at. Okay."
Unknown Interviewee,00;08;39;08,00;08;45;29,I had one night where we went to one of those places where? And different like that.
Unknown Interviewer,00;08;46;01,00;09;02;12,"Where did it get its name, Where did they get its name? Magic lantern. What? What connection is that or what? I don't know, I have no idea where they fell in a theater. They made it maybe up on the platform."
Unknown Interviewee,00;09;02;14,00;09;14;28,"You see, sitting back here. Yeah, all. Oh, and they put on a light and they found the light a row, and then they show up on the."
Unknown Interviewer,00;09;15;00,00;09;23;15,"Oh, it was on a screen. Yeah. What was it on a, on a curtain rather than. This wasn't actual, actors."
Unknown Interviewee,00;09;23;17,00;09;51;25,"You know. Oh, no. Yeah. Oh, the I guess is go back there before you, ever went back. There's some people like that. I find that a lot of a lot of people walk. It will walk a mile at, and soldiers come all over that, and they're."
Unknown Interviewer,00;09;51;28,00;10;01;08,"Sure. Well, what else do you do for entertainment? what else did you used to do for entertainment? There, there."
Unknown Interviewee,00;10;01;10,00;10;07;13,"Well, that. And as."
Unknown Interviewer,00;10;07;15,00;10;09;07,"Well, what kind of party."
Unknown Interviewee,00;10;09;09,00;10;14;23,Or birthday party?
Unknown Interviewer,00;10;14;25,00;10;18;28,I forgot to tell about picnic in the summertime.
Unknown Interviewee,00;10;19;00,00;10;26;11,255 and 11 and July 15th.
Unknown Interviewer,00;10;26;13,00;10;28;04,Take our dinner.
Unknown Interviewee,00;10;28;06,00;10;50;15,Rather take the best game of golf club. Or take some credit on the ground. what's the general? my neighbor told me at home. these weren't community picnic. The people all were doing.
Unknown Interviewer,00;10;50;17,00;10;55;15,"And,"
Unknown Interviewer,00;10;55;17,00;10;58;09,These weren't community picnic.
Unknown Interviewee,00;10;58;11,00;11;02;07,"Oh, no. One, of course, live. And then the town."
Unknown Interviewer,00;11;02;10,00;11;33;13,Now where the restaurant burned that red. Yeah. I hope it's not the burning. Right. Well. I guess they. get everybody. They used to celebrate the 4th of July. Different way than they do now. Yeah. Everybody went.
Unknown Interviewee,00;11;33;16,00;12;05;07,"That was a great time for food. I. And they have left and I, you know, and I like to make speeches, you know. Oh. And they have they have corporations and corporations. In fact, I guess they don't have any more, but they used to have,"
Unknown Interviewer,00;12;05;09,00;12;14;06,"Where they call it Park, you know. Oh, yeah. That they had a bar. Is that where they held the picnics with the."
Unknown Interviewee,00;12;14;08,00;12;22;10,"Back of that for that? And, you know, they always had this beautiful grape."
Unknown Interviewer,00;12;22;12,00;12;28;06,Maple tree back here. Right around outside.
Unknown Interviewee,00;12;28;06,00;12;34;20,Of the bar green.
Unknown Interviewer,00;12;34;22,00;12;49;25,"did they ever have county fairs? Oh, yes. And they're all that well, but, what is that? Have you been a good girl? I don't know, not, but I guess it is. The ice is probably."
Unknown Interviewee,00;12;49;27,00;12;56;10,I thought long since I went to all that.
Unknown Interviewee,00;12;56;12,00;12;59;25,"Oh, Lord, I can't remember."
Unknown Interviewer,00;12;59;27,00;13;01;03,What were they like?
Unknown Interviewee,00;13;01;05,00;13;09;27,"Well, what they were killed and what they were, but, I can't imagine."
Unknown Interviewer,00;13;09;27,00;13;30;05,"What they done there. I forgot what, but were these in connection with the county fair and, Oh, that one at the fair, they asked. Yes, but, what people were in. If I could drop you on report or not. The big thought they'd ask."
Unknown Interviewee,00;13;30;07,00;13;37;10,"What of, apples and."
Unknown Interviewee,00;13;37;12,00;13;38;22,For sure.
Unknown Interviewer,00;13;38;24,00;13;50;08,"Different women maybe. Or as by somebody say, if you ever or anything. Me, I well I young know when you got old enough to be interested."
Unknown Interviewee,00;13;50;08,00;13;55;25,In oh oh.
Unknown Interviewer,00;13;55;27,00;14;10;21,How would you say that? Your childhood. How would you say that your childhood different from the childhood of your children. How would I say my childhood was different than now? They. Yeah. Why? Million.
Unknown Interviewee,00;14;10;23,00;14;39;00,"And, you know, compare. We all went. School house, you know, every two. While when I was in school every two miles I thought about for it and that for a lot of the same point. We had a lot of what they call us now. That lot. Is an."
Unknown Interviewer,00;14;39;03,00;14;42;29,"Evangelistic, evangelist meeting."
Unknown Interviewee,00;14;43;01,00;14;52;22,"You know, it mean that's what they you know, that's the word. I don't think you say, well, we have a lot that need, and."
Unknown Interviewer,00;14;52;22,00;14;53;29,They'd always be hard.
Unknown Interviewee,00;14;54;02,00;14;59;29,And ever who hung around and they movies.
Unknown Interviewer,00;15;00;03,00;15;02;15,Wherever that.
Unknown Interviewee,00;15;02;18,00;15;27;23,"Or meeting was. And oh, I did talk to all the people from. In close way from my. And now I'm had at the school. And if you didn't have that experience every school but every"
Unknown Interviewer,00;15;27;25,00;15;28;20,They had church.
Unknown Interviewee,00;15;28;20,00;15;53;29,"In Toronto and all. And they had lots of little towns back there. And I was very far. And I had all those lessons at the vineyard and all that little town was built on the road that they all had. And,"
Unknown Interviewer,00;15;54;01,00;15;56;05,They all had railroads.
Unknown Interviewee,00;15;56;07,00;16;05;13,"That, the Northern Pacific know what that does? It affected."
Unknown Interviewer,00;16;05;15,00;16;06;20,That put that railroad.
Unknown Interviewee,00;16;06;20,00;16;25;16,"To their and their of course, they all go all the road every seven miles for a town. They let it out here. But yeah, they're bigger."
Unknown Interviewer,00;16;25;19,00;16;27;22,"Well, I call their teacher now."
Unknown Interviewee,00;16;27;24,00;16;34;23,If they want to destroy prohibition.
Unknown Interviewer,00;16;34;25,00;16;40;15,"Do you remember any so. Well, I'm sure you do anything about your courtship. Courtship?"
Unknown Interviewee,00;16;40;15,00;16;51;23,"Yeah, well, I know we rode around the buggy up a lot, that we had a real nice driving."
Unknown Interviewer,00;16;51;25,00;16;54;16,And what else did you do for.
Unknown Interviewee,00;16;54;18,00;17;05;01,oh on Sunday? We just have to right around and go tower by from my March 1st. I got some.
Unknown Interviewer,00;17;05;04,00;17;06;13,Help. Right.
Unknown Interviewee,00;17;06;15,00;17;23;11,"The two of us. I don't know if you got some more, but bananas are over there. Why? Why? That's true. Oh, we didn't have them all right. Here."
Unknown Interviewer,00;17;23;13,00;17;41;11,"Did you always wear a hat all tied down in this sort of thing? I'll look at that. And, your dresses, where they. To the ground. Are they to the ankle? And,"
Unknown Interviewee,00;17;41;13,00;18;03;21,"Were a lot of white. Well, I had to do like that. A lot of didn't like to get quite that touches the heart of what was the native Oriental. And they had there were people with, a cluster of green, a lot of hard work to iron."
Unknown Interviewer,00;18;03;24,00;18;22;14,"Did you ever wear a skirt? No, I never did. Button shoes. Yeah, well. But isn't that okay? when you were a girl."
Unknown Interviewer,00;18;22;16,00;18;25;12,Oh. Heard slippers.
Unknown Interviewee,00;18;25;14,00;18;29;01,Quite. And I quite.
Unknown Interviewer,00;18;29;03,00;18;41;10,You hear love? Yeah. I was so glad. And carried umbrellas. Did you carry umbrellas to.
Unknown Interviewee,00;18;41;13,00;18;57;00,"Oh, oh, I was walking down morality and so forth. You know, at four, five, £0.05 up. And now all around the south, we're pretty. Oh mother had back black the on."
Unknown Interviewer,00;18;57;02,00;19;01;16,"This,"
Unknown Interviewer,00;19;01;18,00;19;13;08,"Fancy carriage. I said this fancy carriage. Did it have a cap on it. Oh, yeah. All right. what do they call a cap buggy."
