speaker,start,end,text
Cathy Naugle or Millie (Martha) Burroughs,00:00:00:00,00:00:32:07,"That's the problem with all the information straight today, February 14th, 1976, Valentine's Day. Yes. And we're in Lewiston. And the interviewee is Lily Brown. No milk? No. I'm sorry, I0I had I okay, everyone and that's actually Martha by legal name is over Martha. And I'm very Martha. And then they discover there were too many Martha. It was confusing in the family was."
Cathy Naugle or Millie (Martha) Burroughs,00:00:32:08,00:00:53:18,"And they put them they ordered and to call me by, but they never put her my birth certificate. Much trouble. And I ask for that. Martha isn't me. I was never called Massachusetts. And it's not till I have to get birth certificates. And then they wonder what's going on. And I wasn't Martha is perfectly good name. It's not me."
Cathy Naugle or Millie (Martha) Burroughs,00:00:53:21,00:01:16:17,"It is that I. I object to too much grammar. Let's say, I guess the only other identification we need to say is that the interviewer is Kathy Noble. And now we can get on with. And Shelley and I ugly. And there you go. Yeah, I'm. I entered. All right, I mind it. I have to see it. yeah."
Cathy Naugle or Millie (Martha) Burroughs,00:01:16:20,00:01:52:04,"People that usually see it then don't they go Nagel or anything pronounced or either. Let's see. You were born in Lebanon, Ohio in January 31st, 1899. I'm just a year older than the century. Except for January, right? Yeah. And your maiden name is from crumbly. It's an Anglo-Saxon. Bramley. Yeah, I am German. Yes. that's probably too anglicized from problem to change it from."
Cathy Naugle or Millie (Martha) Burroughs,00:01:52:07,00:02:20:09,"Well, I don't know that I. Yeah I the lunch is that right. But I were German. And how do I pronounce this? the first place you were in Idaho? We are we I've I've never known. We call it. We we first. Okay. Yeah. Loopy. Yes. And you came to Idaho from all sorts of places here first."
Cathy Naugle or Millie (Martha) Burroughs,00:02:20:13,00:02:53:19,"Was it? Ohio was the last place I was the last place you are? Capacity. Ohio. Before that, that Yellow Springs, you were in Canada, Massachusetts. And you came out here to rehab in 39 and 39 by car. You were then you were already married. When you get out and you you came with my husband, the two kids and this friend of ours, Mary Mercer, who didn't have a job."
Cathy Naugle or Millie (Martha) Burroughs,00:02:53:21,00:03:11:16,"And she was this was, oh, I see, this would be during the depression. This was right after the depression. We starved out in Alberta during the depression and went back to Ohio, where my father had a farm. You could at least raise a car. That's what. That's what we hear so often when people were talking about, they went back to their parents."
Cathy Naugle or Millie (Martha) Burroughs,00:03:11:23,00:03:37:26,"Yeah, well, in Alberta you could not raise a garden on way or nothing. But, girl, what were you doing up now? And this. You were married then? Yes. the babies were born in Alberta. Ever. I want to get into this, but let's get into it. On this particular sheet. now, your mother's family. Tell me what your mother's maiden name was."
Cathy Naugle or Millie (Martha) Burroughs,00:03:37:26,00:04:03:11,"Iris. Yes. What kind of a name is that? That's English. I think we're mostly English and Scotch Irish on my mother's side. Tracy French. You can trace it. That's pretty well, if you can trace it back and trace all of them back before the revolution. Let's say the Irish just were Quakers, and they were all tallow during the revolution."
Cathy Naugle or Millie (Martha) Burroughs,00:04:03:11,00:04:35:11,"Didn't believe in war, but he made our shoes in Portugal for the army. Is that right? How did he justify that? Oh, well, what we can accommodate, that's conscience, you know. That's true. That's true. Well, let's say you say your boy was born in the late 1860s. I know she was several years younger than my father, and I know he was born in 1863, because he was born in the middle of civil war, literally both ways."
Cathy Naugle or Millie (Martha) Burroughs,00:04:35:14,00:05:07:20,"Oh, here comes. Okay. Let's see. your mom, we said, was born about late 1860s in Ohio. Yeah. That's right. Had a farm. And maybe it's a farm. Her parents? Yes. Oh, gosh. And, and she and your father married when she was almost 30. She married to get away from, She wasn't allowed to take a job."
Cathy Naugle or Millie (Martha) Burroughs,00:05:07:22,00:05:32:12,"My grandfather had the bright idea of a job should be for women who needed them. And he could support her. So she had no right to a job. Well, this would have been the late 1890s. That she. Yes. And. Amy had been married a little more than a year before I was born in 1837. So that's right. I can get some connect wells or retinal."
Cathy Naugle or Millie (Martha) Burroughs,00:05:32:12,00:05:52:14,"That's that. well, let's see here the. Oh, she did go to normal school, which educated from normal school like a of education. So that was about her job. That was pretty. It seemed to me it might be unusual for a woman to run to school. That's how it was. But they didn't want to do anything with it."
Cathy Naugle or Millie (Martha) Burroughs,00:05:52:19,00:06:17:21,"Yeah. How did she ever talk to you about how she felt about that later? She resented it very much. But my grandmother was one of these tiny women about my size were. But I kind of the world powers and weakness. and she used it, how she used against, over your mother or her mother. Oh. Her husband."
Cathy Naugle or Millie (Martha) Burroughs,00:06:17:23,00:06:42:23,"He died when I was 11. I really didn't know him. But she didn't succeed nominating him. He suffered, withdrew. But I understand. I don't know, just, I wish I did. Now, this was your grandfather. My grandfather? Yes. Well. But after after he died, my grandmother came to live with us, and she dominated my mother. Oh, she still would after she was married."
Cathy Naugle or Millie (Martha) Burroughs,00:06:42:26,00:07:04:28,"And every what the government consented to the marriage. In case. My parents would come back and spend some time that my father was a teacher. He had summer vacations. What was it? was it that important at that time that that there be consent? By that time, she was it was fair. So she was in her late 20s."
Cathy Naugle or Millie (Martha) Burroughs,00:07:05:01,00:07:31:27,"But in that family, I don't know about that time. Okay. Oh, was. Let's see now, your father, then his name, John Jackson. Jackson was a similar name. It sounds so. And you were saying he was born in in the middle of the Civil War? Both ways. In the location? Oh, yes, in the mountains in eastern Tennessee."
Cathy Naugle or Millie (Martha) Burroughs,00:07:31:27,00:07:55:18,"That's Appalachian. Now. And my grandfather went to, Or my grandmother kept that family together. He was a fifth child. The Union soldiers would come down and forage very hungry, and then the Confederates would drive with us and they'd take anything with the Union soldiers left. They were hungry, too. So they were set upon from both. Yes. And from the other side."
Cathy Naugle or Millie (Martha) Burroughs,00:07:55:18,00:08:18:19,"Was there was a bushwhackers who didn't want to join either side. You come down up the hills hungry, and she managed to kick five children alive. Well that she she must have been a farmer just now. Your father was just born at that time, so she probably doesn't know. He doesn't have any recollection of that. That's just a family memories handed down to him, I have."
Cathy Naugle or Millie (Martha) Burroughs,00:08:18:22,00:08:42:02,"Oh, here's one. Thank you. From all over the place. Did you run? Did you meet his mother? Yeah. No. They both died long before I was born. Oh, let's see now. So. Oh, this is. Oh, yeah. This is father, not your husband. Yeah. My father's family was a German branch, but I'm not sure. But my mother was English or Dutch."
Cathy Naugle or Millie (Martha) Burroughs,00:08:42:03,00:09:09:18,"Irish, I think my grandmother's, Which matters. Yeah, but they were the probably the ones that changed the name or before that. Changed before I before. I don't know how long before. Well, let's see your father. Your mother died in 1325, about of 1925. And your father died much later. Yes. 1951."
Cathy Naugle or Millie (Martha) Burroughs,00:09:09:20,00:09:36:04,"he was a farmer, little man in his way. A very quiet man, but very, husky. Now, this is the one that's in the chapter that I just read. let me see if you don't mind. I'd like you to read this. The two. Fergus. Yeah. About. And explain what this is from the late 60s. This is the last chapter of a book on attitudes toward academics."
Cathy Naugle or Millie (Martha) Burroughs,00:09:36:04,00:10:08:00,"A gifted child that you have just written. Yes. And I'm just finishing the preliminary printing. The first section of it is little tips to parents on things that should be done. And the parents don't always think of them. And this is on consulting the child, loving him. Have some say in his own education. In the late 1860s, a group of farmers in the mountains of East Tennessee, as it is not eastern Tennessee, it's East Tennessee East."
Cathy Naugle or Millie (Martha) Burroughs,00:10:08:02,00:10:30:06,"okay, that's an animal state. That's why I came down to be hired a teacher for their children. Each man paying the teacher stages, for each child he sent to school. One father, after introducing the school age children, said in This is John. John was my grandfather. He's only five, but he knows his letters and he wants to come."
Cathy Naugle or Millie (Martha) Burroughs,00:10:30:09,00:10:53:08,"I'll pay for him as long as he wants to stay. When he gets tired of it, let him come home. John never got tired of it. He stayed in school, was only necessary times out to make money, and later he did it until he had a PhD from Johns Hopkins at 70. When he told me the story, he was still grateful to the father left his own decision at 25."
Cathy Naugle or Millie (Martha) Burroughs,00:10:53:11,00:11:17:01,"That's really something. And that's that's your father. It had his PhD in Latin. Yes, from Johns Hopkins before he went to college. You can major in theology, Latin, Greek or math. And he chose the lesser evil of the college education. But his real interest was in trees. I see down here. He was a forester from the new profession of forestry."
Cathy Naugle or Millie (Martha) Burroughs,00:11:17:01,00:11:39:19,"Came along. He was hired summers by the State Department station in Ohio because he knew trees that no one else did. There were no trained foresters. He was just self-taught. Yes, he he could look out there and tell you the. Species of every tree you see at that render at that distance. Well, did he ever teach Latin. Yeah."
Cathy Naugle or Millie (Martha) Burroughs,00:11:39:19,00:12:05:23,"He did, yes, he taught Latin for three years. Until about when did this. Let's start with the summers. I was ten, 11. I think he was hired by the state during summer. And then I think was a year. I was 13, 12 or 13. He got a full time job as a Forester state. He was really happy about that."
Cathy Naugle or Millie (Martha) Burroughs,00:12:05:24,00:12:28:28,"He had actually retired and he had just then the two. Occupation. Yes. And your mother, I mean, you mother worked at her house at home. That's maybe she had some influence from her mother even after she got out of the home. How do you how do you mean that she never went out and did work outside. Couldn't get jobs in those days."
Cathy Naugle or Millie (Martha) Burroughs,00:12:29:04,00:12:52:14,"Let's see. This would've been. Well, I say, yeah, she died. She died fairly. She couldn't get a job today. We have one. We've interviewed a lot of, women around here who have taught who've been teachers back in the 20s. They would say the same thing that that some of them had seven year long courtships. Because the minute they got married, they wouldn't be teach each."
Cathy Naugle or Millie (Martha) Burroughs,00:12:52:16,00:13:16:27,"That's really shows how things change. Just because I had. And you only have one brother and sisters who, what was a negative average factor in the family somewhere? And my mother had a very serious miscarriage. Yeah. Her third child, which I suspect to us at our age. They did. They know at that time? No, I didn't know at that time."
Cathy Naugle or Millie (Martha) Burroughs,00:13:16:28,00:13:46:12,"I'm just. But you did you find it in your. Well, my daughter, who was our age. Oh, I see, and I consider that and that miscarriage of my mother's, and she never received any more of them. I see. How was your brother? Older. You knew six years younger kids. So, so our salesman was 1995. Where is he now?"
Cathy Naugle or Millie (Martha) Burroughs,00:13:46:15,00:14:12:15,"It's, retired Florida. do you visit him? He was a very successful castlehill, a fundamental, successful apartment builder. This is about, you know, it's very high. And some of us and absolutely nonexistent, you know. Okay, where I want to go. I wasn't very high intelligence, but no business ability. Yeah, that's. It's a different kind of effort, I think."
Cathy Naugle or Millie (Martha) Burroughs,00:14:12:15,00:14:37:28,"I think you're right. He looks like his father, though. Got to do something you really enjoy. Oh, yes. Yes. Let's see now. What? Now I've got to come down to you and your family. Lucy, I wanted to check your mother was, died much earlier than you. Probably she was. How old when she died? She must have been near middle 50s."
Cathy Naugle or Millie (Martha) Burroughs,00:14:38:00,00:15:12:07,"So your father, was he married again several years or five years later. And was quite. He was 88. and even than the typical. Right. Is there? Yes. and then. Okay, when we get to you. You got married. Quinn. How old were you? 29. 29. That's about the same as you. Yes. Well, I was, very disgusted with marriage by parents marriage."
Cathy Naugle or Millie (Martha) Burroughs,00:15:12:07,00:15:35:22,"But I had been so very happy, and they were both such good people. Well, I had I wasn't having any dick. Did you it include, your grandmother who was even. Even without my grandmother. He loved to be outdoors, and she'd been trained to be afraid of everything. Of course, you don't have to live in the country. It was great for those kids to grow up in the country."
Cathy Naugle or Millie (Martha) Burroughs,00:15:35:22,00:16:05:28,"And she was that afraid of horses? Weren't any cars. and in everything, they were exactly as I say. They should never have been introduced to each. But they were both good people. Yeah. And I just I just had to. We're engaged about eight years. Can you remember consciously making this? Oh, connection and decision. Yes. How old were you when you think about 20 I'm, I matured right, right, right."
Cathy Naugle or Millie (Martha) Burroughs,00:16:05:28,00:16:30:17,"Major anger. Well I, I definitely decided quite early that I was not about to marry. I wasn't getting into any such messes that. Well, let's see now. How did you you went on to school. What happened after high school or. I didn't go through high school. I was afraid of kids. I was a social isolation. You seen it?"
Cathy Naugle or Millie (Martha) Burroughs,00:16:30:17,00:16:53:21,"Yeah, yes, I was. Tell me about the first grade when they want to put you in for the school, which was still valued. Achievement going to put me in fourth. I was reading up there and my parents said no, first grade, so she won't be fifth. Socially, I was six and a half and so they put me in first grade."
Cathy Naugle or Millie (Martha) Burroughs,00:16:53:28,00:17:28:12,"Father professor in Antioch College. All right, a little bit. Right. And I just didn't nobody dislike me. They just they thought that Barbara Williams and I were the two children who I knew he was a candy man. But your age. What is that? that was a disparaging remarks over control. Oh, I oh, well. And I just, you know, heard me all through."
Cathy Naugle or Millie (Martha) Burroughs,00:17:28:12,00:17:51:28,"I had a double promotion second, and then in fourth I had another double promotion in fifth. There was another girl who was motherly and sort of took me under her wing. When we moved to Wall Street, like the year that my father went to forestry. Oh, this was all in Ohio. This was in Yellow Springs, Ohio. The first six brothers, seventh, eighth and Worcester."
Cathy Naugle or Millie (Martha) Burroughs,00:17:51:28,00:18:22:19,"There were two other isolates. One was Jewish. Well, it was I'm not sure of shoot, Russian, Polish or Jewish, but they were both isolates. And the three of us had to go. Then we moved to Athens and I was just scared. I didn't dare go indoors. Strange, I suppose, although strange kids Ohio just asked all. But I hope every school teachers had have a little high school education."
Cathy Naugle or Millie (Martha) Burroughs,00:18:22:22,00:18:51:16,"Oh, and here we're really talking 50 years old with no high school education. Could not afford to go to high school. The 13 year old. So the college pretty unattractive, but and I went to that. Now, what year was this about? Oh, let's see. They kept me out of school years, so I would have had seven years from the time I was six and I was 13 there."
Cathy Naugle or Millie (Martha) Burroughs,00:18:51:18,00:19:22:01,"Okay. So I went you were nine nine. So that was about. Well, yeah. 12 or something. Roughly better. I could figure it out. That's pretty close. so now you. I went to school with these, with these little aged school schoolteachers and, Yeah, well, it was high school. Yeah, but it was a high school level work. But it was at the college, and it may be getting it from a prejudiced state."
Cathy Naugle or Millie (Martha) Burroughs,00:19:22:01,00:19:43:16,"You did it? Well, some of your other interviewees about let's talk about the restrictions that were placed on teachers. But time we were allowed to have a date. They were worse in the East and in the West. Some places you had to sign a contract that you wouldn't have a date, a date, a date. Yeah. They didn't think it was just proper."
Cathy Naugle or Millie (Martha) Burroughs,00:19:43:16,00:20:04:25,"They thought it would lead to marriage and you would be able to. That was the a teacher should be sexless. I think you're living now when you're East. You were 13 and there were 40, 50. They were planning on being teachers. Is that what you think? I've already been teacher. Oh, they were going back. They were going back there because of the requirement to fill the requirements."
Cathy Naugle or Millie (Martha) Burroughs,00:20:04:27,00:20:30:07,"But were you just trying to get married or did you want to teach? Oh, well, I didn't teach anything, but. Oh, but that was where I couldn't take that education with people who was going myself. Oh, so. And it turned out very nicely, because after a while back I got into some advanced courses, college level courses in high school and got double credit for them."
Cathy Naugle or Millie (Martha) Burroughs,00:20:30:09,00:20:52:09,"So I was college seven years. So you were by the time you were 20, you were, oh no. I stopped a year and a half carried mail. Oh, that's World War one. Yes. Well, the young men all went to war and the older man got to Detroit for Henry Ford, paying all $5 a day, and nobody was going to stay one man."
Cathy Naugle or Millie (Martha) Burroughs,00:20:52:10,00:21:14:22,"Yeah, for 1800 a year. If you get the $5 a day in Detroit. So there were there were some jobs did how did you decide? Did it just look like I was always an examination and that I was curious? Joe asked you it very easy examination. It doesn't take much brains to be. It didn't in those days to be a rural mail carrier."
Cathy Naugle or Millie (Martha) Burroughs,00:21:14:25,00:21:26:24,"What kind of what kind of exam was it? What did they. I don't remember, actually. I suppose it was kind of a thing to tell you if it's any."
Cathy Naugle or Millie (Martha) Burroughs,00:21:26:26,00:21:50:15,"Oh. Oh, it's in there. Look, it's not. See, I suppose it was maybe kind of a general aptitude. It probably. Yes. I was the first rural mail carrier in the country. It was a piece of the Paris edition of a New York country. Yeah, a woman. Yeah. So this. All right, so now this letter makes a lot more sense."
Cathy Naugle or Millie (Martha) Burroughs,00:21:50:17,00:22:13:08,"Tell me, tell me, what? Did you encounter any obstacles when you went to take this thing? No, they didn't say desperate for people. And you were the only woman in the country that applied. Well, apparently saw a place to at least a New York paper which had Paris editions, thought it was two soldiers sent back to cook. And, you know, is that right?"
Cathy Naugle or Millie (Martha) Burroughs,00:22:13:10,00:22:37:09,"So where was this, exam? Was it right there? Yes. And was anybody really surprised when you showed up to take it or. I think probably saw it, but I don't really remember. You don't remember being you were too apprehensive. Well, I know, I know, I know why I if took it, I had seen advertised in the car mechanics course in Detroit."
