speaker,start,end,text
Unknown Interviewer,00;00;00;00,00;00;17;15,"Health, education and welfare. I think it is a good study and. Also in the data sheet. So."
Unknown Interviewer,00;00;17;17,00;00;32;03,Really? What's your middle name? Cobra. Oh wow. Well I need to I just need do you know what is your middle name?
Unknown Interviewee,00;00;33;02,00;00;39;27,even I know the market. Market?
Unknown Interviewer,00;00;39;29,00;00;41;12,But how would you describe that.
Unknown Interviewee,00;00;41;15,00;00;42;19,Area to.
Unknown,00;00;42;19,00;00;46;22,You? Are you thinking.
Unknown Interviewer,00;00;46;25,00;00;56;24,Anything of easy and. The little things and places do.
Unknown Interviewee,00;00;56;27,00;01;11;19,"I was born in November of 2018. Moved to in Q4, was to go to school. So in of you."
Unknown Interviewer,00;01;11;19,00;01;25;01,Are oh yeah. I was 23 was going to go on the train and I'm on the right track was from Minnesota and Chicago. To see you again.
Unknown Interviewee,00;01;25;03,00;01;32;22,This is 970 Spruce Street.
Unknown,00;01;32;24,00;01;36;05,And you're from.
Unknown Interviewee,00;01;36;08,00;01;41;26,Trinity. Five to 2 to 2.
Unknown Interviewer,00;01;41;28,00;01;56;23,That's every the local first residents in Idaho. And I know that it was 916 Spruce Street.
Unknown Interviewer,00;01;56;25,00;01;58;29,Original local.
Unknown Interviewee,00;01;58;29,00;02;13;03,Before emigration. Whitely grew.
Unknown Interviewer,00;02;13;06,00;02;16;01,Approximately. Everyone in Idaho.
Unknown Interviewee,00;02;16;15,00;02;20;04,"came here in May 25th, 1949."
Unknown Interviewer,00;02;20;07,00;02;27;07,"Oh, really? Wow. Right. And I came the 1st of May."
Unknown Interviewer,00;02;27;10,00;02;28;25,Mode of travel.
Unknown Interviewee,00;02;28;28,00;02;32;11,We came with car companions.
Unknown Interviewer,00;02;32;11,00;02;33;20,Friendship.
Unknown Interviewee,00;02;33;22,00;02;38;08,"Well, I just remember in my four point."
Unknown Interviewer,00;02;38;10,00;02;44;20,"Oh and and say, is it here somewhere from. Okay. So that would be Janice and Judy."
Unknown Interviewee,00;02;44;26,00;02;56;26,And Jeff and Jim.
Unknown Interviewer,00;02;56;28,00;03;01;19,"Oh. Family background. You, mom, family and maiden name?"
