speaker,start,end,text
Unknown Interviewee or Interviewer,00:00:00:00,00:00:05:28,If you saw.
Unknown Interviewee or Interviewer,00:00:05:28,00:00:10:09,What would it be like if we came back to you a second time for a second interview?
Unknown Interviewee or Interviewer,00:00:10:11,00:00:17:15,"Oh, I. You know, I wish I knew I talked."
Unknown Interviewee or Interviewer,00:00:17:15,00:00:21:14,About two hours. I know it was quite a closed deal.
Unknown Interviewee or Interviewer,00:00:21:16,00:00:24:21,Had you ever sat down and talked about your whole life before?
Unknown Interviewee or Interviewer,00:00:24:22,00:00:40:17,"No. And my husband was interested in preserving it for our family. And he got it on me because it. But it didn't come true that we paid back over the life of it. Enough that even here we are, we I we knew what we were talking about, and I knew when I found out that it didn't come to that and that it kind of worried."
Unknown Interviewee or Interviewer,00:00:40:17,00:00:54:28,"Maybe it didn't come through. I heard it because, you had better, I guess, read it and it could come through. So he and he would really kind of disappointed because he thought it would be nice to keep for our children. You know who you are for who we lost to."
Unknown Interviewee or Interviewer,00:00:54:28,00:00:56:11,"The other side. And, you."
Unknown Interviewee or Interviewer,00:00:56:13,00:01:07:23,"Know, kind of point about that. No, I thought about that afterwards. And it becomes fun to write a story that hadn't been, you know, a year."
Unknown Interviewee or Interviewer,00:01:07:25,00:01:10:17,Of older ones.
Unknown Interviewee or Interviewer,00:01:10:19,00:01:22:22,"Isabel, if you ever think about well, as transferring into your story and transcribing the tape as."
Unknown Interviewee or Interviewer,00:01:22:25,00:01:29:13,"That, that we want to do and, and we're trying to figure out how it can be done, it it's extremely time consuming."
Unknown Interviewee or Interviewer,00:01:29:19,00:01:33:10,"Oh, yeah. No. You need somebody like, almost like a corporate partner."
Unknown Interviewee or Interviewer,00:01:33:10,00:01:54:18,Yes we did. In fact it's estimated. And Sam Schrager who's into you know here it takes ten hours to transcribe one hour of recording tape. So that's another possibility that we'll be looking for. Maybe there are funding. There are people that would provide money for that. We could hire a person who is good at typing to be very efficient.
Unknown Interviewee or Interviewer,00:01:54:18,00:02:09:02,"We have to get some better typing and trade in this. So it would make best use of it. But I think you're right. Before a real research can be done, it has to be done. And I went to the oral history conference and."
Unknown Interviewee or Interviewer,00:02:09:02,00:02:09:19,Put a link.
Unknown Interviewee or Interviewer,00:02:09:19,00:02:19:10,"To weeks ago, and they all agreed the same for collecting data on tape. But in order to save your work, the poor people needed paper."
Unknown Interviewee or Interviewer,00:02:19:16,00:02:34:19,"You know, you have to keep the tape because of certain flavor and the person is talking, right? But you lose encryption. But for the use of now what did happen."
Unknown Interviewee or Interviewer,00:02:34:19,00:02:36:10,And so so.
Unknown Interviewee or Interviewer,00:02:36:12,00:02:46:19,"Yeah. Well, Mr. Smith, thanks a lot for selling Mrs. Jones over here on this one. I saw it that way. What do you mean? You know, the transcription works better."
Unknown Interviewee or Interviewer,00:02:47:03,00:02:48:24,certain things that you have here.
Unknown Interviewee or Interviewer,00:02:48:26,00:03:05:02,"Well, we've been thinking about how to use it now, and one possibility is the questions that we asked, we're group like there was a number of questions about child rearing where you got information on child rearing or your attitudes."
Unknown Interviewee or Interviewer,00:03:05:02,00:03:06:14,"But, think."
Unknown Interviewee or Interviewer,00:03:06:16,00:03:12:16,"I think we were trying to get at how one thing we're looking at was, how important is the idea of work."
Unknown Interviewee or Interviewer,00:03:12:19,00:03:13:25,In your life?
Unknown Interviewee or Interviewer,00:03:13:27,00:03:17:29,How would your children raise you were growing up compared to.
Unknown Interviewee or Interviewer,00:03:18:01,00:03:29:05,"If they didn't have any questions like that? Money. she didn't really ask me too many questions of your life. And and so I started in, in New Town of four."
Unknown Interviewee or Interviewer,00:03:29:05,00:03:30:17,Years and married.
Unknown Interviewee or Interviewer,00:03:30:19,00:03:39:06,"You know, I, you know, I think of my girlfriend and like myself right now, like my friends and pioneers, when they came here in 1968, I was a."
Unknown Interviewee or Interviewer,00:03:39:06,00:03:40:27,"Girl, six years old."
Unknown Interviewee or Interviewer,00:03:40:29,00:03:47:08,"But when you tell a story, there are things you say in the way you say. It tells us your attitude forward."
Unknown Interviewee or Interviewer,00:03:47:11,00:03:48:05,I know what you mean.
Unknown Interviewee or Interviewer,00:03:48:08,00:04:00:27,"And it comes through. So that's what Charles is saying. When we go over the transcript and we analyze what we want to say, we can say so many people in women's live in northern Idaho. Most of them feel this way."
Unknown Interviewee or Interviewer,00:04:00:29,00:04:04:18,About where you are.
Unknown Interviewee or Interviewer,00:04:04:21,00:04:07:09,So that's kind of what looking to try to remember.
