speaker,start,end,text
Unknown Interviewer,00:00:00:00,00:00:08:23,$5. You're looking at your creative.
Irene Cook,00:00:08:23,00:00:09:15,And your car.
Unknown Interviewer,00:00:09:15,00:00:32:14,"And then come back out. All right, so today's April 24th. We're in Sandpoint at the Pine Tree. We're talking to Irene Cook, who is the owner or co-owner of the Pine Tree. And we'd like to, get some of her personal background and how she happened to be in Sandpoint. And, we'll start out by saying, how long have you lived in Sandpoint?"
Unknown Interviewer,00:00:32:14,00:00:33:27,For two weeks.
Irene Cook,00:00:33:29,00:00:39:03,it's lived here for.
Irene Cook,00:00:39:06,00:00:47:28,"Six years. so actually, over just just a little over, actually."
Unknown Interviewer,00:00:48:04,00:00:50:26,"Anxious. We came from,"
Irene Cook,00:00:50:29,00:00:51:23,From Santa Cruz.
Unknown Interviewer,00:00:51:23,00:00:56:04,County. what what was in your mind when you decided to come to Idaho?
Irene Cook,00:00:56:11,00:01:27:24,"Okay. My husband worked for Park de Vista, Furnace City coal sales down there, and we had a real nice home and up to us. And about that time, the, university moved in there and there was a lot of problems going on and its taxes were really going. I thought we were thinking of starting a family. We didn't want to raise a family in that type of environment."
Irene Cook,00:01:27:24,00:02:03:08,"Apartment was a asked place. I was like, well, so. And so we decided to to, sell our home and we purchased near stream House trailer. You know, we didn't know where we wouldn't move or anything. We just started out in there year. We spent about eight months visiting North West and also been to Canada looking for a possible place to live."
Irene Cook,00:02:03:11,00:02:37:15,"And we spent a lot of time up here and down on the island, up and down. finally we came back through Spokane and we had a brand in Spokane that had moved up who was a pharmacist, 50 Spokane. We were able to visit him, and we did, and we thought, while we're in Spokane, we'll take a day and just drive up to the Cortland areas north and look it over."
Irene Cook,00:02:37:17,00:03:13:23,"We did, and we spent about four days instead of one day. We purchased 50 acres just north of town. Here. So we went back to California, and then we decided we still didn't know if we wanted them to move up here or not, because our property is went on approved property, which is probably on top. And then we couldn't believe how or the difference between California and Idaho just been gone."
Irene Cook,00:03:13:25,00:03:49:02,"It's long. So we decided to come back and purchase a house near our property and to, purchase an old house, and to fix it up and raise start again and that we actually get enough money, to move up your property. Here's what got us back. So we purchased this old house that was actually abandoned, and it was a very old dad, repair."
Irene Cook,00:03:49:05,00:03:50:09,"And,"
Unknown Interviewer,00:03:50:11,00:03:51:07,We.
Irene Cook,00:03:51:09,00:04:22:29,"Bought it for almost nothing. And, my husband and I spent months, reading, modeling it, and we parked our Airstream out back here and moved in here while we worked on that house or sales. And we just actually gutted it all out and start all over from scratch. You know, once the house decked, all week windows were broken and the pipes were frozen."
Irene Cook,00:04:23:01,00:04:29:05,so we moved rooms around and plumbing around. And it's major overall.
Unknown Interviewer,00:04:29:08,00:04:29:22,You're in the.
Irene Cook,00:04:29:22,00:04:30:08,House.
Unknown Interviewer,00:04:30:10,00:04:37:03,"So you've invested quite a lot of energy and, mostly more energy than money, right. And a lot of time in it."
Irene Cook,00:04:37:05,00:04:38:12,Correct.
Unknown Interviewer,00:04:38:15,00:04:51:08,"but it was worth it to you, right? For one of your values and the things right you wanted that were up here. And it is a better place to raise children, right? Yeah. Yeah. So you must not regret any, you know."
Irene Cook,00:04:51:08,00:04:55:12,No.
Unknown Interviewer,00:04:55:15,00:04:59:05,"what is your background? Is that you grown up in California, right?"
Irene Cook,00:04:59:05,00:05:03:25,"I was was, was raised on the Apple ranch."
Unknown Interviewer,00:05:03:27,00:05:07:07,so your people must have come to California early.
Irene Cook,00:05:07:09,00:05:32:19,"I mean, it's a great. It's a good. It's great. It's grand. Parents on my father's side, moved to California and then on my mother's side, her people from England. Harry's moved over."
Unknown Interviewer,00:05:32:21,00:05:57:13,"From New. So it's kind of, you see a, continuity there. Maybe people with the same values are getting out. That came your ancestors with those values came early, and then California has kind of changed, right? So if you have inherited those same things you're looking at, come to Idaho. So there might be a relation, a continuing."
Irene Cook,00:05:57:16,00:05:57:29,Right?
Unknown Interviewer,00:05:57:29,00:06:02:25,"I agree. You have the, one sister in a brother?"
Irene Cook,00:06:02:26,00:06:03:11,Yes.
Unknown Interviewer,00:06:03:18,00:06:06:25,Are they similar to you? Are where are they different?
Irene Cook,00:06:06:27,00:06:32:02,"Keller Fornia. My brother is, working with my dad on the apple orchard. My folks still have the apple orchard and doing very well with it. And my, sister has her own family in is. Scuse me. It's it's working in an office."
