speaker,start,end,text
Hope Maddox or Unknown Interviewer,00:00:00:00,00:00:11:26,So a first I'd like I'll ask you questions about your your personal history. And then I have three general questions about.
Hope Maddox or Unknown Interviewer,00:00:11:26,00:00:16:26,Your personal experience that perhaps some of could go on.
Hope Maddox or Unknown Interviewer,00:00:16:28,00:00:28:08,So we'll start at reforming now. So I hope people who.
Hope Maddox or Unknown Interviewer,00:00:28:10,00:00:34:26,Are here to help.
Hope Maddox or Unknown Interviewer,00:00:34:29,00:00:44:02,With your will are.
Hope Maddox or Unknown Interviewer,00:00:44:05,00:01:05:12,"Have you ever had a nickname? No. Oh, well, that's not right. All right. All right. Well, this is exactly like that. And your address here is, not one by two."
Hope Maddox or Unknown Interviewer,00:01:05:14,00:01:27:14,When were you born? February 15th. And where would you go? Up there from? that was the only half of the hospital after that. So that's where. Where was your home? I think I'm right down here.
Hope Maddox or Unknown Interviewer,00:01:27:17,00:01:30:13,I have to to a problem.
Hope Maddox or Unknown Interviewer,00:01:30:15,00:01:56:01,"I did, but I came back. Is that right? That was your your first residence. And some of these other questions are for people who emigrate. So we'll get some of them. what was your mother's maiden name? Later. Ellie. Why is she that? First to come and go. I was going."
Hope Maddox or Unknown Interviewer,00:01:56:01,00:02:01:17,"To be the first. I, I."
Hope Maddox or Unknown Interviewer,00:02:01:19,00:02:21:15,"You know, when she was born. I think where is the problem?"
Hope Maddox or Unknown Interviewer,00:02:21:17,00:02:32:01,Today. Could. Of 1823.
Hope Maddox or Unknown Interviewer,00:02:32:04,00:02:56:02,And forward to going. okay. I. I knew to die. I think. You know when she was dead and yet next month of 1980.
Hope Maddox or Unknown Interviewer,00:02:56:05,00:03:08:14,"If you have any occupation for a job. Yeah. I think, yeah. But I think, you know."
Hope Maddox or Unknown Interviewer,00:03:08:16,00:03:31:25,"Was this after she married or before? Before he left? You go. Can, maybe further down the road to get more and more. That's, you know, that. And again, you can depend on a hundred thousand more."
Hope Maddox or Unknown Interviewer,00:03:31:28,00:03:36:29,Because you have to work.
Hope Maddox or Unknown Interviewer,00:03:37:01,00:03:40:25,And you have to.
Hope Maddox or Unknown Interviewer,00:03:40:27,00:03:50:14,And you don't have to have all.
Hope Maddox or Unknown Interviewer,00:03:50:17,00:04:10:12,"Available. My father of an old family whose father to, I think I think that's about."
Hope Maddox or Unknown Interviewer,00:04:10:14,00:04:14:05,Europe. Okay.
Hope Maddox or Unknown Interviewer,00:04:15:12,00:04:17:22,Yeah.
Hope Maddox or Unknown Interviewer,00:04:17:24,00:04:22:18,"I thought I, I."
Hope Maddox or Unknown Interviewer,00:04:22:20,00:04:32:08,"Offered at the party at the barbecue. Probably not good enough. You know, I think he came here."
Hope Maddox or Unknown Interviewer,00:04:32:10,00:04:37:23,And I think you put your.
Hope Maddox or Unknown Interviewer,00:04:37:26,00:04:54:21,"Offering and you'll have some nice. Well, they have the felt that I could, for my people to talk to me and so forth. Because we have a of you. Yes. You are, but I have, I'm for,"
Hope Maddox or Unknown Interviewer,00:04:54:23,00:05:01:01,"Well, after that, I became."
Hope Maddox or Unknown Interviewer,00:05:01:03,00:05:06:15,Over the years and.
Hope Maddox or Unknown Interviewer,00:05:06:17,00:05:11:09,What do you call.
Hope Maddox or Unknown Interviewer,00:05:11:11,00:05:30:18,"I'm very modest, and you know that, so she didn't really work after she was married? Oh, no. Never happened. So thank you, Mrs. Dot. and your. Oh, as you have written down your father's name now, Albert."
Hope Maddox or Unknown Interviewer,00:05:30:20,00:05:31:02,Albert.
Hope Maddox or Unknown Interviewer,00:05:31:02,00:05:38:02,He also became.
Hope Maddox or Unknown Interviewer,00:05:38:04,00:05:45:25,"You know, when he was born. And I learned that he can be part."
Hope Maddox or Unknown Interviewer,00:05:45:27,00:06:03:09,"You want to be him? For him. For he died when Of course, they to put on the,"
Hope Maddox or Unknown Interviewer,00:06:03:11,00:06:08:28,disappeared. he also had to.
Hope Maddox or Unknown Interviewer,00:06:09:01,00:06:10:01,Of of course.
