speaker,start,end,text
Unknown Interviewer,00:00:00:00,00:00:04:17,For.
Unknown Interviewer,00:00:04:20,00:00:11:05,"Marvel, how much the women could get them back way back to all the modern conveniences."
Unknown Interviewer,00:00:11:08,00:00:24:03,"We have now. And yes, it seems like I know myself I can't get things done. And I have everything, you know, dishwasher and washing machine. It is remarkable."
Helena Cartwright Carlson,00:00:24:05,00:00:26:23,Turn the faucet and get hot water.
Helena Cartwright Carlson,00:00:26:25,00:00:28:00,And then.
Unknown Interviewer,00:00:28:00,00:00:35:22,"Get them. First I want to tell you that if there's any questions that I ask for, you don't want to answer, don't answer them. You don't have."
Helena Cartwright Carlson,00:00:35:22,00:00:37:06,To. Okay.
Unknown Interviewer,00:00:37:09,00:00:38:09,And drink or have.
Helena Cartwright Carlson,00:00:38:09,00:00:42:05,Any ill will consume. Like for example.
Unknown Interviewer,00:00:42:07,00:01:07:11,"you know, if something's too personal or you don't want to discuss it, that's fine. The first thing I want to do is I'm going to fill up this, data sheet, and I'll just go through some of your family and your mother and intake and things like that. And it's just. So we have a record and I think the neat thing about this data sheet is that."
Unknown Interviewer,00:01:07:14,00:01:18:06,"It'll have your family sort of like your family tree and like your, generations gone can come back and listen to your interests scream."
Helena Cartwright Carlson,00:01:18:08,00:01:36:18,"I think I heard one of my sisters was going through our family tree, and she's way, way, way back, you know, and there were so many interesting things that took part. And then we went back to some very interesting people that."
Unknown Interviewer,00:01:36:18,00:01:43:06,Would be interested in me. I'd like to. I wish something was available on my family because you just you don't know.
Helena Cartwright Carlson,00:01:43:10,00:01:51:14,"And I know it takes a lot of time, a lot of correspondence. She even had to spend money to buy."
Unknown Interviewer,00:01:51:14,00:01:52:01,To farm.
Helena Cartwright Carlson,00:01:52:03,00:02:00:09,To find out. but she got way back. Way back in the long time.
Unknown Interviewer,00:02:00:12,00:02:06:08,I have you. Okay. This is your name. Halina. Is that right?
Helena Cartwright Carlson,00:02:06:08,00:02:11:19,Helium cleaner.
